date,Expédition colis,isPartial
2022-09-25,0,False
2022-09-26,0,False
2022-09-27,21,False
2022-09-28,63,False
2022-09-29,44,False
2022-09-30,0,False
2022-10-01,0,False
2022-10-02,0,False
2022-10-03,0,False
2022-10-04,26,False
2022-10-05,0,False
2022-10-06,0,False
2022-10-07,0,False
2022-10-08,0,False
2022-10-09,30,False
2022-10-10,0,False
2022-10-11,0,False
2022-10-12,0,False
2022-10-13,28,False
2022-10-14,0,False
2022-10-15,0,False
2022-10-16,0,False
2022-10-17,0,False
2022-10-18,0,False
2022-10-19,25,False
2022-10-20,0,False
2022-10-21,22,False
2022-10-22,0,False
2022-10-23,0,False
2022-10-24,0,False
2022-10-25,0,False
2022-10-26,0,False
2022-10-27,0,False
2022-10-28,0,False
2022-10-29,0,False
2022-10-30,0,False
2022-10-31,0,False
2022-11-01,56,False
2022-11-02,0,False
2022-11-03,0,False
2022-11-04,76,False
2022-11-05,0,False
2022-11-06,0,False
2022-11-07,0,False
2022-11-08,0,False
2022-11-09,0,False
2022-11-10,0,False
2022-11-11,0,False
2022-11-12,0,False
2022-11-13,32,False
2022-11-14,0,False
2022-11-15,0,False
2022-11-16,0,False
2022-11-17,0,False
2022-11-18,91,False
2022-11-19,0,False
2022-11-20,0,False
2022-11-21,0,False
2022-11-22,32,False
2022-11-23,0,False
2022-11-24,22,False
2022-11-25,0,False
2022-11-26,0,False
2022-11-27,0,False
2022-11-28,0,False
2022-11-29,0,False
2022-11-30,0,False
2022-12-01,0,False
2022-12-02,23,False
2022-12-03,0,False
2022-12-04,0,False
2022-12-05,0,False
2022-12-06,30,False
2022-12-07,100,False
2022-12-08,0,False
2022-12-09,0,False
2022-12-10,0,False
2022-12-11,0,False
2022-12-12,0,False
2022-12-13,0,False
2022-12-14,20,False
2022-12-15,0,False
2022-12-16,0,False
2022-12-17,0,False
2022-12-18,25,False
2022-12-19,0,False
2022-12-20,0,False
2022-12-21,0,False
2022-12-22,0,False
2022-12-23,0,False
2022-12-24,0,False
