date,Retard livraison,isPartial
2019-12-29,0,False
2019-12-30,0,False
2019-12-31,23,False
2020-01-01,0,False
2020-01-02,27,False
2020-01-03,40,False
2020-01-04,100,False
2020-01-05,26,False
2020-01-06,68,False
2020-01-07,70,False
2020-01-08,23,False
2020-01-09,0,False
2020-01-10,58,False
2020-01-11,0,False
2020-01-12,20,False
2020-01-13,71,False
2020-01-14,50,False
2020-01-15,0,False
2020-01-16,75,False
2020-01-17,68,False
2020-01-18,0,False
2020-01-19,0,False
2020-01-20,26,False
2020-01-21,27,False
2020-01-22,0,False
2020-01-23,22,False
2020-01-24,54,False
2020-01-25,0,False
2020-01-26,0,False
2020-01-27,30,False
2020-01-28,35,False
2020-01-29,0,False
2020-01-30,45,False
2020-01-31,0,False
2020-02-01,23,False
2020-02-02,0,False
2020-02-03,41,False
2020-02-04,22,False
2020-02-05,0,False
2020-02-06,35,False
2020-02-07,32,False
2020-02-08,48,False
2020-02-09,0,False
2020-02-10,46,False
2020-02-11,31,False
2020-02-12,0,False
2020-02-13,88,False
2020-02-14,51,False
2020-02-15,0,False
2020-02-16,0,False
2020-02-17,61,False
2020-02-18,68,False
2020-02-19,19,False
2020-02-20,47,False
2020-02-21,42,False
2020-02-22,28,False
2020-02-23,47,False
2020-02-24,40,False
2020-02-25,29,False
2020-02-26,35,False
2020-02-27,0,False
2020-02-28,25,False
2020-02-29,26,False
2020-03-01,34,False
2020-03-02,22,False
2020-03-03,0,False
2020-03-04,35,False
2020-03-05,38,False
2020-03-06,34,False
2020-03-07,93,False
2020-03-08,0,False
2020-03-09,20,False
2020-03-10,47,False
2020-03-11,73,False
2020-03-12,42,False
2020-03-13,72,False
2020-03-14,24,False
2020-03-15,28,False
2020-03-16,44,False
2020-03-17,54,False
2020-03-18,39,False
2020-03-19,0,False
2020-03-20,0,False
2020-03-21,0,False
2020-03-22,33,False
2020-03-23,38,False
2020-03-24,0,False
2020-03-25,61,False
2020-03-26,86,False
2020-03-27,22,False
2020-03-28,38,False
