date,Service de livraison,isPartial
2022-06-26,0,False
2022-06-27,31,False
2022-06-28,28,False
2022-06-29,0,False
2022-06-30,72,False
2022-07-01,100,False
2022-07-02,0,False
2022-07-03,30,False
2022-07-04,37,False
2022-07-05,46,False
2022-07-06,39,False
2022-07-07,46,False
2022-07-08,0,False
2022-07-09,39,False
2022-07-10,0,False
2022-07-11,23,False
2022-07-12,0,False
2022-07-13,0,False
2022-07-14,0,False
2022-07-15,0,False
2022-07-16,0,False
2022-07-17,51,False
2022-07-18,25,False
2022-07-19,72,False
2022-07-20,73,False
2022-07-21,66,False
2022-07-22,22,False
2022-07-23,23,False
2022-07-24,29,False
2022-07-25,31,False
2022-07-26,24,False
2022-07-27,24,False
2022-07-28,0,False
2022-07-29,0,False
2022-07-30,28,False
2022-07-31,0,False
2022-08-01,0,False
2022-08-02,33,False
2022-08-03,0,False
2022-08-04,28,False
2022-08-05,32,False
2022-08-06,22,False
2022-08-07,0,False
2022-08-08,0,False
2022-08-09,32,False
2022-08-10,51,False
2022-08-11,51,False
2022-08-12,39,False
2022-08-13,0,False
2022-08-14,42,False
2022-08-15,0,False
2022-08-16,41,False
2022-08-17,58,False
2022-08-18,64,False
2022-08-19,62,False
2022-08-20,36,False
2022-08-21,0,False
2022-08-22,36,False
2022-08-23,55,False
2022-08-24,44,False
2022-08-25,60,False
2022-08-26,42,False
2022-08-27,30,False
2022-08-28,24,False
2022-08-29,0,False
2022-08-30,0,False
2022-08-31,31,False
2022-09-01,20,False
2022-09-02,0,False
2022-09-03,0,False
2022-09-04,48,False
2022-09-05,45,False
2022-09-06,0,False
2022-09-07,43,False
2022-09-08,35,False
2022-09-09,72,False
2022-09-10,0,False
2022-09-11,44,False
2022-09-12,39,False
2022-09-13,34,False
2022-09-14,41,False
2022-09-15,50,False
2022-09-16,35,False
2022-09-17,45,False
2022-09-18,0,False
2022-09-19,55,False
2022-09-20,89,False
2022-09-21,0,False
2022-09-22,0,False
2022-09-23,0,False
2022-09-24,0,False
