date,Service de livraison,isPartial
2019-03-31,0,False
2019-04-01,100,False
2019-04-02,54,False
2019-04-03,42,False
2019-04-04,34,False
2019-04-05,30,False
2019-04-06,0,False
2019-04-07,33,False
2019-04-08,0,False
2019-04-09,0,False
2019-04-10,25,False
2019-04-11,41,False
2019-04-12,26,False
2019-04-13,27,False
2019-04-14,68,False
2019-04-15,62,False
2019-04-16,35,False
2019-04-17,23,False
2019-04-18,43,False
2019-04-19,0,False
2019-04-20,0,False
2019-04-21,29,False
2019-04-22,36,False
2019-04-23,61,False
2019-04-24,81,False
2019-04-25,45,False
2019-04-26,0,False
2019-04-27,56,False
2019-04-28,57,False
2019-04-29,63,False
2019-04-30,69,False
2019-05-01,43,False
2019-05-02,26,False
2019-05-03,0,False
2019-05-04,55,False
2019-05-05,0,False
2019-05-06,0,False
2019-05-07,0,False
2019-05-08,0,False
2019-05-09,0,False
2019-05-10,32,False
2019-05-11,0,False
2019-05-12,0,False
2019-05-13,31,False
2019-05-14,87,False
2019-05-15,0,False
2019-05-16,0,False
2019-05-17,0,False
2019-05-18,43,False
2019-05-19,32,False
2019-05-20,69,False
2019-05-21,0,False
2019-05-22,0,False
2019-05-23,0,False
2019-05-24,76,False
2019-05-25,0,False
2019-05-26,47,False
2019-05-27,0,False
2019-05-28,50,False
2019-05-29,52,False
2019-05-30,0,False
2019-05-31,42,False
2019-06-01,36,False
2019-06-02,36,False
2019-06-03,0,False
2019-06-04,0,False
2019-06-05,53,False
2019-06-06,63,False
2019-06-07,80,False
2019-06-08,24,False
2019-06-09,41,False
2019-06-10,0,False
2019-06-11,20,False
2019-06-12,0,False
2019-06-13,32,False
2019-06-14,28,False
2019-06-15,0,False
2019-06-16,0,False
2019-06-17,0,False
2019-06-18,41,False
2019-06-19,81,False
2019-06-20,0,False
2019-06-21,42,False
2019-06-22,62,False
2019-06-23,0,False
2019-06-24,33,False
2019-06-25,0,False
2019-06-26,98,False
2019-06-27,43,False
2019-06-28,0,False
2019-06-29,45,False
