date,Retard livraison,isPartial
2020-03-29,52,False
2020-03-30,38,False
2020-03-31,84,False
2020-04-01,28,False
2020-04-02,45,False
2020-04-03,0,False
2020-04-04,27,False
2020-04-05,0,False
2020-04-06,54,False
2020-04-07,22,False
2020-04-08,39,False
2020-04-09,43,False
2020-04-10,16,False
2020-04-11,34,False
2020-04-12,12,False
2020-04-13,26,False
2020-04-14,37,False
2020-04-15,0,False
2020-04-16,38,False
2020-04-17,0,False
2020-04-18,36,False
2020-04-19,0,False
2020-04-20,0,False
2020-04-21,40,False
2020-04-22,16,False
2020-04-23,26,False
2020-04-24,20,False
2020-04-25,52,False
2020-04-26,28,False
2020-04-27,38,False
2020-04-28,65,False
2020-04-29,26,False
2020-04-30,37,False
2020-05-01,16,False
2020-05-02,38,False
2020-05-03,27,False
2020-05-04,27,False
2020-05-05,21,False
2020-05-06,21,False
2020-05-07,27,False
2020-05-08,44,False
2020-05-09,0,False
2020-05-10,0,False
2020-05-11,24,False
2020-05-12,48,False
2020-05-13,37,False
2020-05-14,40,False
2020-05-15,17,False
2020-05-16,30,False
2020-05-17,39,False
2020-05-18,52,False
2020-05-19,69,False
2020-05-20,34,False
2020-05-21,31,False
2020-05-22,76,False
2020-05-23,44,False
2020-05-24,24,False
2020-05-25,67,False
2020-05-26,71,False
2020-05-27,62,False
2020-05-28,33,False
2020-05-29,0,False
2020-05-30,35,False
2020-05-31,0,False
2020-06-01,11,False
2020-06-02,35,False
2020-06-03,56,False
2020-06-04,36,False
2020-06-05,100,False
2020-06-06,67,False
2020-06-07,34,False
2020-06-08,28,False
2020-06-09,47,False
2020-06-10,92,False
2020-06-11,27,False
2020-06-12,41,False
2020-06-13,0,False
2020-06-14,32,False
2020-06-15,77,False
2020-06-16,28,False
2020-06-17,37,False
2020-06-18,61,False
2020-06-19,30,False
2020-06-20,31,False
2020-06-21,19,False
2020-06-22,0,False
2020-06-23,40,False
2020-06-24,16,False
2020-06-25,12,False
2020-06-26,74,False
2020-06-27,0,False
