date,Expédition colis,isPartial
2019-12-29,51,False
2019-12-30,92,False
2019-12-31,0,False
2020-01-01,36,False
2020-01-02,51,False
2020-01-03,0,False
2020-01-04,63,False
2020-01-05,33,False
2020-01-06,35,False
2020-01-07,0,False
2020-01-08,0,False
2020-01-09,34,False
2020-01-10,0,False
2020-01-11,0,False
2020-01-12,0,False
2020-01-13,0,False
2020-01-14,75,False
2020-01-15,40,False
2020-01-16,0,False
2020-01-17,61,False
2020-01-18,46,False
2020-01-19,0,False
2020-01-20,32,False
2020-01-21,0,False
2020-01-22,38,False
2020-01-23,0,False
2020-01-24,0,False
2020-01-25,0,False
2020-01-26,0,False
2020-01-27,0,False
2020-01-28,0,False
2020-01-29,0,False
2020-01-30,49,False
2020-01-31,32,False
2020-02-01,0,False
2020-02-02,38,False
2020-02-03,0,False
2020-02-04,29,False
2020-02-05,0,False
2020-02-06,0,False
2020-02-07,0,False
2020-02-08,0,False
2020-02-09,65,False
2020-02-10,0,False
2020-02-11,0,False
2020-02-12,0,False
2020-02-13,56,False
2020-02-14,0,False
2020-02-15,0,False
2020-02-16,0,False
2020-02-17,0,False
2020-02-18,0,False
2020-02-19,0,False
2020-02-20,0,False
2020-02-21,0,False
2020-02-22,0,False
2020-02-23,53,False
2020-02-24,0,False
2020-02-25,37,False
2020-02-26,0,False
2020-02-27,0,False
2020-02-28,42,False
2020-02-29,0,False
2020-03-01,0,False
2020-03-02,0,False
2020-03-03,0,False
2020-03-04,0,False
2020-03-05,0,False
2020-03-06,0,False
2020-03-07,0,False
2020-03-08,0,False
2020-03-09,0,False
2020-03-10,0,False
2020-03-11,31,False
2020-03-12,0,False
2020-03-13,0,False
2020-03-14,35,False
2020-03-15,0,False
2020-03-16,100,False
2020-03-17,0,False
2020-03-18,0,False
2020-03-19,53,False
2020-03-20,0,False
2020-03-21,29,False
2020-03-22,72,False
2020-03-23,0,False
2020-03-24,0,False
2020-03-25,0,False
2020-03-26,0,False
2020-03-27,0,False
2020-03-28,0,False
