date,Retard livraison,isPartial
2020-09-27,14,False
2020-09-28,10,False
2020-09-29,21,False
2020-09-30,0,False
2020-10-01,16,False
2020-10-02,0,False
2020-10-03,0,False
2020-10-04,0,False
2020-10-05,21,False
2020-10-06,13,False
2020-10-07,16,False
2020-10-08,30,False
2020-10-09,0,False
2020-10-10,46,False
2020-10-11,0,False
2020-10-12,14,False
2020-10-13,33,False
2020-10-14,18,False
2020-10-15,20,False
2020-10-16,0,False
2020-10-17,0,False
2020-10-18,0,False
2020-10-19,0,False
2020-10-20,14,False
2020-10-21,29,False
2020-10-22,27,False
2020-10-23,14,False
2020-10-24,14,False
2020-10-25,21,False
2020-10-26,29,False
2020-10-27,18,False
2020-10-28,37,False
2020-10-29,21,False
2020-10-30,15,False
2020-10-31,19,False
2020-11-01,0,False
2020-11-02,11,False
2020-11-03,0,False
2020-11-04,24,False
2020-11-05,14,False
2020-11-06,21,False
2020-11-07,0,False
2020-11-08,0,False
2020-11-09,15,False
2020-11-10,36,False
2020-11-11,21,False
2020-11-12,18,False
2020-11-13,21,False
2020-11-14,14,False
2020-11-15,22,False
2020-11-16,17,False
2020-11-17,0,False
2020-11-18,16,False
2020-11-19,53,False
2020-11-20,26,False
2020-11-21,16,False
2020-11-22,16,False
2020-11-23,26,False
2020-11-24,19,False
2020-11-25,18,False
2020-11-26,0,False
2020-11-27,0,False
2020-11-28,0,False
2020-11-29,27,False
2020-11-30,0,False
2020-12-01,23,False
2020-12-02,25,False
2020-12-03,32,False
2020-12-04,20,False
2020-12-05,20,False
2020-12-06,16,False
2020-12-07,22,False
2020-12-08,11,False
2020-12-09,30,False
2020-12-10,31,False
2020-12-11,11,False
2020-12-12,32,False
2020-12-13,27,False
2020-12-14,32,False
2020-12-15,15,False
2020-12-16,54,False
2020-12-17,16,False
2020-12-18,64,False
2020-12-19,23,False
2020-12-20,12,False
2020-12-21,27,False
2020-12-22,100,False
2020-12-23,24,False
2020-12-24,20,False
2020-12-25,13,False
2020-12-26,11,False
