date,Expédition colis,isPartial
2023-03-26,48,False
2023-03-27,0,False
2023-03-28,76,False
2023-03-29,0,False
2023-03-30,66,False
2023-03-31,0,False
2023-04-01,63,False
2023-04-02,0,False
2023-04-03,0,False
2023-04-04,0,False
2023-04-05,0,False
2023-04-06,0,False
2023-04-07,0,False
2023-04-08,0,False
2023-04-09,0,False
2023-04-10,0,False
2023-04-11,0,False
2023-04-12,0,False
2023-04-13,0,False
2023-04-14,66,False
2023-04-15,0,False
2023-04-16,0,False
2023-04-17,0,False
2023-04-18,0,False
2023-04-19,0,False
2023-04-20,0,False
2023-04-21,100,False
2023-04-22,0,False
2023-04-23,83,False
2023-04-24,0,False
2023-04-25,0,False
2023-04-26,43,False
2023-04-27,41,False
2023-04-28,0,False
2023-04-29,0,False
2023-04-30,71,False
2023-05-01,0,False
2023-05-02,0,False
2023-05-03,0,False
2023-05-04,0,False
2023-05-05,93,False
2023-05-06,0,False
2023-05-07,0,False
2023-05-08,0,False
2023-05-09,0,False
2023-05-10,0,False
2023-05-11,0,False
2023-05-12,0,False
2023-05-13,0,False
2023-05-14,0,False
2023-05-15,0,False
2023-05-16,0,False
2023-05-17,71,False
2023-05-18,0,False
2023-05-19,48,False
2023-05-20,44,False
2023-05-21,0,False
2023-05-22,0,False
2023-05-23,0,False
2023-05-24,0,False
2023-05-25,0,False
2023-05-26,0,False
2023-05-27,0,False
2023-05-28,0,False
2023-05-29,48,False
2023-05-30,0,False
2023-05-31,0,False
2023-06-01,0,False
2023-06-02,73,False
2023-06-03,0,False
2023-06-04,0,False
2023-06-05,0,False
2023-06-06,0,False
2023-06-07,0,False
2023-06-08,0,False
2023-06-09,0,False
2023-06-10,0,False
2023-06-11,0,False
2023-06-12,0,False
2023-06-13,0,False
2023-06-14,0,False
2023-06-15,0,False
2023-06-16,0,False
2023-06-17,0,False
2023-06-18,0,False
2023-06-19,0,False
2023-06-20,0,False
2023-06-21,0,False
2023-06-22,72,False
2023-06-23,0,False
2023-06-24,61,False
