date,Retard livraison,isPartial
2018-07-01,0,False
2018-07-02,0,False
2018-07-03,21,False
2018-07-04,76,False
2018-07-05,51,False
2018-07-06,0,False
2018-07-07,79,False
2018-07-08,0,False
2018-07-09,41,False
2018-07-10,25,False
2018-07-11,40,False
2018-07-12,0,False
2018-07-13,55,False
2018-07-14,0,False
2018-07-15,0,False
2018-07-16,26,False
2018-07-17,50,False
2018-07-18,0,False
2018-07-19,65,False
2018-07-20,28,False
2018-07-21,24,False
2018-07-22,78,False
2018-07-23,42,False
2018-07-24,0,False
2018-07-25,71,False
2018-07-26,45,False
2018-07-27,24,False
2018-07-28,27,False
2018-07-29,0,False
2018-07-30,26,False
2018-07-31,35,False
2018-08-01,43,False
2018-08-02,63,False
2018-08-03,52,False
2018-08-04,0,False
2018-08-05,37,False
2018-08-06,33,False
2018-08-07,48,False
2018-08-08,0,False
2018-08-09,0,False
2018-08-10,43,False
2018-08-11,0,False
2018-08-12,51,False
2018-08-13,33,False
2018-08-14,0,False
2018-08-15,37,False
2018-08-16,0,False
2018-08-17,39,False
2018-08-18,0,False
2018-08-19,0,False
2018-08-20,55,False
2018-08-21,0,False
2018-08-22,24,False
2018-08-23,0,False
2018-08-24,32,False
2018-08-25,0,False
2018-08-26,44,False
2018-08-27,0,False
2018-08-28,93,False
2018-08-29,63,False
2018-08-30,0,False
2018-08-31,0,False
2018-09-01,37,False
2018-09-02,68,False
2018-09-03,58,False
2018-09-04,81,False
2018-09-05,33,False
2018-09-06,65,False
2018-09-07,34,False
2018-09-08,0,False
2018-09-09,42,False
2018-09-10,53,False
2018-09-11,35,False
2018-09-12,21,False
2018-09-13,34,False
2018-09-14,67,False
2018-09-15,44,False
2018-09-16,21,False
2018-09-17,49,False
2018-09-18,37,False
2018-09-19,19,False
2018-09-20,29,False
2018-09-21,36,False
2018-09-22,67,False
2018-09-23,0,False
2018-09-24,0,False
2018-09-25,0,False
2018-09-26,39,False
2018-09-27,0,False
2018-09-28,100,False
2018-09-29,34,False
