date,Retard livraison,isPartial
2022-09-25,60,False
2022-09-26,50,False
2022-09-27,0,False
2022-09-28,27,False
2022-09-29,82,False
2022-09-30,30,False
2022-10-01,0,False
2022-10-02,16,False
2022-10-03,29,False
2022-10-04,0,False
2022-10-05,46,False
2022-10-06,48,False
2022-10-07,15,False
2022-10-08,48,False
2022-10-09,52,False
2022-10-10,68,False
2022-10-11,39,False
2022-10-12,82,False
2022-10-13,62,False
2022-10-14,38,False
2022-10-15,0,False
2022-10-16,0,False
2022-10-17,0,False
2022-10-18,35,False
2022-10-19,22,False
2022-10-20,42,False
2022-10-21,53,False
2022-10-22,0,False
2022-10-23,25,False
2022-10-24,17,False
2022-10-25,0,False
2022-10-26,0,False
2022-10-27,21,False
2022-10-28,39,False
2022-10-29,32,False
2022-10-30,0,False
2022-10-31,0,False
2022-11-01,18,False
2022-11-02,52,False
2022-11-03,21,False
2022-11-04,0,False
2022-11-05,31,False
2022-11-06,23,False
2022-11-07,24,False
2022-11-08,23,False
2022-11-09,47,False
2022-11-10,66,False
2022-11-11,29,False
2022-11-12,20,False
2022-11-13,23,False
2022-11-14,100,False
2022-11-15,43,False
2022-11-16,52,False
2022-11-17,37,False
2022-11-18,71,False
2022-11-19,45,False
2022-11-20,16,False
2022-11-21,61,False
2022-11-22,54,False
2022-11-23,45,False
2022-11-24,0,False
2022-11-25,41,False
2022-11-26,52,False
2022-11-27,0,False
2022-11-28,68,False
2022-11-29,37,False
2022-11-30,35,False
2022-12-01,83,False
2022-12-02,20,False
2022-12-03,35,False
2022-12-04,32,False
2022-12-05,57,False
2022-12-06,0,False
2022-12-07,63,False
2022-12-08,65,False
2022-12-09,37,False
2022-12-10,30,False
2022-12-11,15,False
2022-12-12,42,False
2022-12-13,91,False
2022-12-14,16,False
2022-12-15,31,False
2022-12-16,68,False
2022-12-17,73,False
2022-12-18,18,False
2022-12-19,65,False
2022-12-20,29,False
2022-12-21,78,False
2022-12-22,66,False
2022-12-23,43,False
2022-12-24,68,False
